name_long,name_short,skl_code,county,muni_group,fa_region,neighbours
Ale kommun,Ale,1440,Västra Götalands län,Förortskommuner till storstäderna,Stockholm,"Kungälv,Göteborg,Alingsås,Lerum,Trollhättan,Lilla Edet"
Alingsås kommun,Alingsås,1489,Västra Götalands län,Förortskommuner till storstäderna,Stockholm,"Bollebygd,Lerum,Trollhättan,Ale,Vårgårda,Essunga"
Älmhults kommun,Älmhult,0765,Kronobergs län,Förortskommuner till storstäderna,Stockholm,"Hässleholm,Olofström,Osby,Tingsryd,Alvesta,Ljungby,Markaryd"
Älvdalens kommun,Älvdalen,2039,Dalarnas län,Förortskommuner till storstäderna,Stockholm,"Härjedalen,Mora,Malung-Sälen"
Alvesta kommun,Alvesta,0764,Kronobergs län,Förortskommuner till storstäderna,Stockholm,"Tingsryd,Växjö,Ljungby,Älmhult,Sävsjö,Värnamo"
Älvkarleby kommun,Älvkarleby,0319,Uppsala län,Förortskommuner till storstäderna,Stockholm,"Tierp,Gävle"
Älvsbyns kommun,Älvsbyn,2560,Norrbottens län,Förortskommuner till storstäderna,Stockholm,"Arvidsjaur,Piteå,Luleå,Boden,Jokkmokk"
Åmåls kommun,Åmål,1492,Västra Götalands län,Förortskommuner till storstäderna,Stockholm,"Säffle,Bengtsfors,Mellerud,Årjäng"
Aneby kommun,Aneby,0604,Jönköpings län,Förortskommuner till storstäderna,Stockholm,"Eksjö,Ydre,Tranås,Nässjö,Jönköping"
Ånge kommun,Ånge,2260,Västernorrlands län,Förortskommuner till storstäderna,Stockholm,"Berg,Härjedalen,Ljusdal,Nordanstig,Hudiksvall,Bräcke,Sundsvall"
Ängelholms kommun,Ängelholm,1292,Skåne län,Förortskommuner till storstäderna,Stockholm,"Helsingborg,Laholm,Örkelljunga,Klippan,Åstorp,Båstad"
Arboga kommun,Arboga,1984,Västmanlands län,Förortskommuner till storstäderna,Stockholm,"Kungsör,Eskilstuna,Lindesberg,Örebro,Köping"
Åre kommun,Åre,2321,Jämtlands län,Förortskommuner till större städer,Stockholm,"Berg,Krokom"
Årjängs kommun,Årjäng,1765,Värmlands län,Förortskommuner till storstäderna,Stockholm,"Säffle,Åmål,Bengtsfors,Dals-Ed,Arvika,Eda"
Arjeplogs kommun,Arjeplog,2506,Norrbottens län,Förortskommuner till storstäderna,Stockholm,"Arvidsjaur,Sorsele,Jokkmokk"
Arvidsjaurs kommun,Arvidsjaur,2505,Norrbottens län,Förortskommuner till storstäderna,Stockholm,"Norsjö,Malå,Sorsele,Piteå,Skellefteå,Älvsbyn,Jokkmokk,Arjeplog"
Arvika kommun,Arvika,1784,Värmlands län,Storstäder,Stockholm,"Säffle,Sunne,Årjäng,Torsby,Eda,Kil,Grums"
Åsele kommun,Åsele,2463,Västerbottens län,Större städer,Stockholm,"Bjurholm,Lycksele,Örnsköldsvik,Vilhelmina,Dorotea,Sollefteå"
Askersunds kommun,Askersund,1882,Örebro län,Förortskommuner till storstäderna,Stockholm,"Motala,Karlsborg,Laxå,Hallsberg"
Åstorps kommun,Åstorp,1277,Skåne län,Förortskommuner till storstäderna,Stockholm,"Helsingborg,Bjuv,Svalöv,Klippan,Ängelholm"
Åtvidabergs kommun,Åtvidaberg,0561,Östergötlands län,Förortskommuner till storstäderna,Stockholm,"Västervik,Valdemarsvik,Söderköping,Linköping,Kinda"
Avesta kommun,Avesta,2084,Dalarnas län,Förortskommuner till storstäderna,Stockholm,"Heby,Norberg,Sala,Hofors,Sandviken,Hedemora"
Båstads kommun,Båstad,1278,Skåne län,Förortskommuner till storstäderna,Stockholm,"Laholm,Ängelholm"
Bengtsfors kommun,Bengtsfors,1460,Västra Götalands län,Turism- och besöksnäringskommuner,Stockholm,"Säffle,Åmål,Dals-Ed,Mellerud,Färgelanda,Årjäng"
Bergs kommun,Berg,2326,Jämtlands län,Pendlingskommuner,Stockholm,"Härjedalen,Åre,Östersund,Ånge,Bräcke"
Bjurholms kommun,Bjurholm,2403,Västerbottens län,Förortskommuner till storstäderna,Stockholm,"Vindeln,Nordmaling,Lycksele,Örnsköldsvik,Åsele,Vännäs"
Bjuvs kommun,Bjuv,1260,Skåne län,Förortskommuner till storstäderna,Stockholm,"Helsingborg,Svalöv,Åstorp"
Bodens kommun,Boden,2582,Norrbottens län,Förortskommuner till större städer,Gävle,"Piteå,Luleå,Älvsbyn,Gällivare,Jokkmokk,Överkalix"
Bollebygds kommun,Bollebygd,1443,Västra Götalands län,Förortskommuner till större städer,Stockholm,"Borås,Mark,Härryda,Alingsås,Lerum,Vårgårda"
Bollnäs kommun,Bollnäs,2183,Gävleborgs län,Pendlingskommuner,Stockholm,"Ockelbo,Ljusdal,Ovanåker,Falun,Hudiksvall,Söderhamn"
Borås stad,Borås,1490,Västra Götalands län,Varuproducerande kommuner,Stockholm,"Svenljunga,Mark,Bollebygd,Herrljunga,Vårgårda,Ulricehamn,Tranemo"
Borgholms kommun,Borgholm,0885,Kalmar län,Större städer,Stockholm,Mörbylånga
Borlänge kommun,Borlänge,2081,Dalarnas län,Kommuner i tätbefolkad region,Stockholm,"Ludvika,Leksand,Gagnef,Falun,Säter"
Botkyrka kommun,Botkyrka,0127,Stockholms län,Turism- och besöksnäringskommuner,Stockholm,"Södertälje,Nynäshamn,Salem,Ekerö,Huddinge,Haninge"
Boxholms kommun,Boxholm,0560,Östergötlands län,Pendlingskommuner,Eskilstuna,"Mjölby,Linköping,Kinda,Ydre,Tranås,Ödeshög"
Bräcke kommun,Bräcke,2305,Jämtlands län,Förortskommuner till större städer,Stockholm,"Berg,Östersund,Ånge,Sundsvall,Ragunda"
Bromölla kommun,Bromölla,1272,Skåne län,Större städer,Nyköping,"Kristianstad,Olofström,Sölvesborg"
Burlövs kommun,Burlöv,1231,Skåne län,Varuproducerande kommuner,Nyköping,"Lomma,Staffanstorp,Malmö,Svedala"
Dals-Eds kommun,Dals-Ed,1438,Västra Götalands län,Kommuner i tätbefolkad region,Eskilstuna,"Munkedal,Tanum,Bengtsfors,Färgelanda,Årjäng"
Danderyds kommun,Danderyd,0162,Stockholms län,Kommuner i tätbefolkad region,Eskilstuna,"Sollentuna,Lidingö,Stockholm,Täby,Solna"
Degerfors kommun,Degerfors,1862,Örebro län,Större städer,Eskilstuna,"Lekeberg,Storfors,Kristinehamn,Gullspång,Laxå,Karlskoga"
Dorotea kommun,Dorotea,2425,Västerbottens län,Pendlingskommuner,Stockholm,"Vilhelmina,Åsele,Strömsund,Sollefteå"
Eda kommun,Eda,1730,Värmlands län,Förortskommuner till större städer,Stockholm,"Arvika,Årjäng"
Ekerö kommun,Ekerö,0125,Stockholms län,Pendlingskommuner,Östergötland,"Botkyrka,Salem,Upplands-Bro,Stockholm"
Eksjö kommun,Eksjö,0686,Jönköpings län,Pendlingskommuner,Tranås,"Vetlanda,Hultsfred,Vimmerby,Ydre,Aneby,Nässjö"
Emmaboda kommun,Emmaboda,0862,Kalmar län,Kommuner i tätbefolkad region,Östergötland,"Ronneby,Lessebo,Tingsryd,Karlskrona,Nybro,Kalmar,Torsås"
Enköpings kommun,Enköping,0381,Uppsala län,Pendlingskommuner,Östergötland,"Heby,Håbo,Uppsala,Sala,Västerås"
Eskilstuna kommun,Eskilstuna,0484,Södermanlands län,Pendlingskommuner,Östergötland,"Strängnäs,Kungsör,Flen,Katrineholm,Arboga"
Eslövs kommun,Eslöv,1285,Skåne län,Varuproducerande kommuner,Östergötland,"Kävlinge,Lund,Höör,Hörby,Sjöbo,Svalöv,Klippan"
Essunga kommun,Essunga,1445,Västra Götalands län,Turism- och besöksnäringskommuner,Östergötland,"Alingsås,Trollhättan,Vara,Herrljunga,Vårgårda,Grästorp"
Fagersta kommun,Fagersta,1982,Västmanlands län,Större städer,Östergötland,"Smedjebacken,Norberg,Skinnskatteberg,Sala,Surahammar"
Falkenbergs kommun,Falkenberg,1382,Hallands län,Större städer,Östergötland,"Svenljunga,Mark,Varberg,Hylte,Halmstad,Gislaved"
Falköpings kommun,Falköping,1499,Västra Götalands län,Förortskommuner till större städer,Östergötland,"Skara,Vara,Herrljunga,Ulricehamn,Skövde,Tidaholm,Mullsjö"
Falu kommun,Falun,2080,Dalarnas län,Kommuner i tätbefolkad region,Östergötland,"Rättvik,Leksand,Gagnef,Ockelbo,Hofors,Sandviken,Ovanåker,Borlänge,Säter,Hedemora,Bollnäs"
Färgelanda kommun,Färgelanda,1439,Västra Götalands län,Pendlingskommuner,Östergötland,"Munkedal,Uddevalla,Bengtsfors,Dals-Ed,Mellerud,Vänersborg"
Filipstads kommun,Filipstad,1782,Värmlands län,Kommuner i tätbefolkad region,Östergötland,"Karlstad,Storfors,Ludvika,Hällefors,Malung-Sälen,Vansbro,Hagfors"
Finspångs kommun,Finspång,0562,Östergötlands län,Pendlingskommuner,Jönköping,"Norrköping,Vingåker,Motala,Linköping,Katrineholm,Örebro,Hallsberg"
Flens kommun,Flen,0482,Södermanlands län,Varuproducerande kommuner,Värnamo,"Strängnäs,Eskilstuna,Katrineholm,Gnesta,Nyköping"
Forshaga kommun,Forshaga,1763,Värmlands län,Pendlingskommuner,Jönköping,"Sunne,Munkfors,Kil,Karlstad,Hagfors"
Gagnefs kommun,Gagnef,2026,Dalarnas län,Förortskommuner till större städer,Jönköping,"Ludvika,Leksand,Vansbro,Falun,Borlänge"
Gällivare kommun,Gällivare,2523,Norrbottens län,Varuproducerande kommuner,Värnamo,"Kiruna,Boden,Jokkmokk,Överkalix,Pajala"
Gävle kommun,Gävle,2180,Gävleborgs län,Varuproducerande kommuner,Jönköping,"Heby,Älvkarleby,Tierp,Ockelbo,Sandviken,Söderhamn"
Gislaveds kommun,Gislaved,0662,Jönköpings län,Större städer,Jönköping,"Svenljunga,Falkenberg,Hylte,Ljungby,Tranemo,Vaggeryd,Värnamo,Gnosjö,Jönköping"
Gnesta kommun,Gnesta,0461,Södermanlands län,Kommuner i tätbefolkad region,Jönköping,"Strängnäs,Trosa,Södertälje,Nykvarn,Flen,Nyköping"
Gnosjö kommun,Gnosjö,0617,Jönköpings län,Varuproducerande kommuner,Värnamo,"Vaggeryd,Värnamo,Gislaved"
Göteborgs stad,Göteborg,1480,Västra Götalands län,Varuproducerande kommuner,Vetlanda,"Kungälv,Mölndal,Partille,Öckerö,Härryda,Kungsbacka,Lerum,Ale"
Götene kommun,Götene,1471,Västra Götalands län,Varuproducerande kommuner,Vetlanda,"Skara,Mariestad,Lidköping,Skövde"
Gotland,Gotland,0980,Gotlands län,Kommuner i tätbefolkad region,Jönköping,
Grästorps kommun,Grästorp,1444,Västra Götalands län,Varuproducerande kommuner,Tranås,"Vänersborg,Trollhättan,Vara,Essunga,Lidköping"
Grums kommun,Grums,1764,Värmlands län,Varuproducerande kommuner,Växjö,"Säffle,Arvika,Kil,Karlstad"
Gullspångs kommun,Gullspång,1447,Västra Götalands län,Pendlingskommuner,Växjö,"Mariestad,Töreboda,Kristinehamn,Laxå,Degerfors"
Habo kommun,Habo,0643,Jönköpings län,Varuproducerande kommuner,Växjö,"Hjo,Tidaholm,Mullsjö,Jönköping"
Håbo kommun,Håbo,0305,Uppsala län,Pendlingskommuner,Växjö,"Upplands-Bro,Knivsta,Sigtuna,Uppsala,Enköping"
Hagfors kommun,Hagfors,1783,Värmlands län,Kommuner i tätbefolkad region,Älmhult,"Sunne,Forshaga,Munkfors,Torsby,Karlstad,Malung-Sälen,Filipstad"
Hällefors kommun,Hällefors,1863,Örebro län,Varuproducerande kommuner,Ljungby,"Storfors,Ludvika,Karlskoga,Nora,Filipstad,Lindesberg,Ljusnarsberg"
Hallsbergs kommun,Hallsberg,1861,Örebro län,Större städer,Växjö,"Finspång,Motala,Lekeberg,Laxå,Kumla,Örebro,Askersund"
Hallstahammars kommun,Hallstahammar,1961,Västmanlands län,Varuproducerande kommuner,Ljungby,"Köping,Surahammar,Västerås"
Halmstads kommun,Halmstad,1380,Hallands län,Pendlingskommuner,Oskarshamn,"Laholm,Falkenberg,Hylte,Ljungby"
Hammarö kommun,Hammarö,1761,Värmlands län,Varuproducerande kommuner,Kalmar,Karlstad
Haninge kommun,Haninge,0136,Stockholms län,Förortskommuner till större städer,Kalmar,"Nynäshamn,Botkyrka,Tyresö,Huddinge"
Haparanda stad,Haparanda,2583,Norrbottens län,Varuproducerande kommuner,Vimmerby,"Övertorneå,Kalix"
